Datum;Material_ID;Warengruppe;Bestellbedarf_Gruppen;Krisenrisiko_Gruppen;Auslaufende_Vertraege;Bestand;Bedarf_7T;Lief_ID;Lieferant_Klasse;Preis_pro_Einheit_EUR;Bestellvorschlag_EUR
01.03.2025;HIST-Trend;-;105;5;20;;;;;;
01.04.2025;HIST-Trend;-;108;6;22;;;;;;
01.05.2025;HIST-Trend;-;110;8;21;;;;;;
01.06.2025;HIST-Trend;-;115;7;25;;;;;;
01.07.2025;HIST-Trend;-;112;9;24;;;;;;
01.08.2025;HIST-Trend;-;120;10;28;;;;;;
01.09.2025;HIST-Trend;-;118;11;30;;;;;;
01.10.2025;HIST-Trend;-;125;12;27;;;;;;
01.11.2025;HIST-Trend;-;130;14;31;;;;;;
01.12.2025;HIST-Trend;-;128;13;29;;;;;;
01.01.2026;HIST-Trend;-;135;12;32;;;;;;
01.02.2026;HIST-Trend;-;141;14;30;;;;;;
01.03.2026;MAT-100;Kunststoffteile;143;15;28;370;450;L-100-1;A;218.75;17500
01.03.2026;MAT-100;Kunststoffteile;143;15;28;370;450;L-100-2;B;210.00;16800
01.03.2026;MAT-100;Kunststoffteile;143;15;28;370;450;L-100-3;C;205.50;16440
01.03.2026;MAT-101;Elektronik;143;15;28;1000;1200;L-101-1;A;51.00;10200
01.03.2026;MAT-101;Elektronik;143;15;28;1000;1200;L-101-2;B;48.50;9700
01.03.2026;MAT-102;Verpackung;143;15;28;350;150;L-102-1;B;5.50;0
01.03.2026;MAT-102;Verpackung;143;15;28;350;150;L-102-2;C;5.20;0
01.03.2026;MAT-103;Logistik;143;15;28;80;200;L-103-1;B;70.00;8400
01.03.2026;MAT-103;Logistik;143;15;28;80;200;L-103-2;C;65.00;7800
01.03.2026;MAT-103;Logistik;143;15;28;80;200;L-103-3;A;75.00;9000
01.03.2026;MAT-104;Stahl-Rohstoffe;143;15;28;90;40;L-104-1;B;120.00;0
01.03.2026;MAT-104;Stahl-Rohstoffe;143;15;28;90;40;L-104-2;A;125.00;0
01.03.2026;MAT-105;Kunststoffteile;143;15;28;450;600;L-105-1;A;80.00;12000
01.03.2026;MAT-105;Kunststoffteile;143;15;28;450;600;L-105-2;B;77.00;11550
01.03.2026;MAT-106;Elektronik;143;15;28;120;300;L-106-1;B;27.70;4986
01.03.2026;MAT-106;Elektronik;143;15;28;120;300;L-106-2;C;26.50;4770
