Buchungsnummer,Reisedatum,Passagier-ID,Abfahrtsbahnhof,Zug-ID,Zugpersonal,Waggontyp,Reiseklasse,Fahrtstrecke_km,Tarif_pro_km,Ticketpreis,Reservierungsgebühr,Gesamtbetrag
TR-000001,2023-03-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,6314.66,8419.55
TR-000002,2023-04-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000003,2023-05-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000004,2023-06-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000005,2023-07-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000006,2023-08-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000007,2023-09-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000008,2023-10-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000009,2023-11-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000010,2023-12-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000011,2024-01-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000012,2024-02-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000013,2024-03-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,6.11,2180.5,0.0,2180.5
TR-000014,2024-04-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,6.11,2180.5,0.0,2180.5
TR-000015,2024-05-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,6.11,2180.5,0.0,2180.5
TR-000016,2024-06-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,6.11,2180.5,0.0,2180.5
TR-000017,2024-07-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,6.11,2180.5,0.0,2180.5
TR-000018,2024-08-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,6.11,2180.5,-6314.66,-4134.16
TR-000019,2024-09-01,Mieter-U-001-2,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,6314.66,8419.55
TR-000020,2024-10-01,Mieter-U-001-2,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000021,2024-11-01,Mieter-U-001-2,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000022,2024-12-01,Mieter-U-001-2,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000023,2025-01-01,Mieter-U-001-2,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000024,2025-02-01,Mieter-U-001-2,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000025,2025-03-01,Mieter-U-001-2,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000026,2025-04-01,Mieter-U-001-2,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000027,2025-05-01,Mieter-U-001-2,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
TR-000028,2025-06-01,Mieter-U-001-2,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,5.9,2104.89,0.0,2104.89
