Buchungsnummer,Reisedatum,Passagier-ID,Abfahrtsbahnhof,Zug-ID,Zugpersonal,Waggontyp,Reiseklasse,Fahrtstrecke_km,Tarif_pro_km,Ticketpreis,Reservierungsgebühr,Gesamtbetrag
TR-2021-002488,2021-01-01,Mieter-U-075-1,München,V-04,Thomas Weber,Bordbistro,2. Klasse (Sparpreis),287,0.094,26.98,4.9,31.88
TR-2021-001983,2021-01-01,Mieter-U-060-1,Berlin,V-04,Thomas Weber,First Class Abteil,1. Klasse (Business),241,0.461,111.1,4.9,116.0
TR-2021-004397,2021-01-01,Mieter-U-132-1,München,V-02,Petra Schmidt,Business-Abteil,1. Klasse (Business),359,0.433,155.45,4.9,160.35
TR-2021-004227,2021-01-01,Mieter-U-127-1,Hamburg,V-01,Hans Müller,Reisezentrum,2. Klasse (Sparpreis),427,0.094,40.14,4.9,45.04
TR-2021-003184,2021-01-01,Mieter-U-096-1,München,V-05,Markus Wagner,First Class Abteil,1. Klasse (Business),251,0.484,121.48,4.9,126.38
TR-2021-003425,2021-01-01,Mieter-U-103-1,Köln,V-04,Thomas Weber,Panoramawagen,2. Klasse (Flexpreis),30,0.227,6.81,4.9,11.71
TR-2021-000980,2021-01-01,Mieter-U-030-1,Hamburg,V-02,Petra Schmidt,Service-Abteil,2. Klasse (Sparpreis),498,0.103,51.29,4.9,56.19
TR-2021-000846,2021-01-01,Mieter-U-026-1,Frankfurt,V-01,Hans Müller,Liegewagen,2. Klasse (Flexpreis),147,0.242,35.57,4.9,40.47
TR-2021-002184,2021-01-01,Mieter-U-066-1,Berlin,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),101,0.214,21.61,4.9,26.51
TR-2021-004764,2021-01-01,Mieter-U-143-1,München,V-02,Petra Schmidt,First Class Abteil,1. Klasse (Business),292,0.459,134.03,4.9,138.93
TR-2021-003287,2021-01-01,Mieter-U-099-1,Hamburg,V-04,Thomas Weber,Gepäckwagen,1. Klasse (Business),238,0.411,97.82,4.9,102.72
TR-2021-000809,2021-01-01,Mieter-U-025-1,Hamburg,V-04,Thomas Weber,Bordshop,1. Klasse (Business),49,0.448,21.95,4.9,26.85
