Konto;Kontobezeichnung;Datum;Betrag
8400,0;Erlöse aus Verkäufen;2025-01-31;132,41
8400,0;Erlöse aus Verkäufen;2025-01-31;581,0
8400,0;Erlöse aus Verkäufen;2025-01-31;336,64
8400,0;Erlöse aus Verkäufen;2025-01-31;251,81
8410,0;Erlöse aus Dienstleistungen;2025-01-31;110,08
8410,0;Erlöse aus Dienstleistungen;2025-01-31;134,58
8400,0;Erlöse aus Verkäufen;2025-01-31;607,92
8400,0;Erlöse aus Verkäufen;2025-01-31;995,89
8410,0;Erlöse aus Dienstleistungen;2025-01-31;750,82
8400,0;Erlöse aus Verkäufen;2025-01-31;950,44
8400,0;Erlöse aus Verkäufen;2025-01-31;930,7
8400,0;Erlöse aus Verkäufen;2025-01-31;141,45
8410,0;Erlöse aus Dienstleistungen;2025-01-31;376,02
8410,0;Erlöse aus Dienstleistungen;2025-01-31;363,74
8400,0;Erlöse aus Verkäufen;2025-01-31;869,53
8400,0;Erlöse aus Verkäufen;2025-01-31;189,45
8400,0;Erlöse aus Verkäufen;2025-01-31;497,59
8400,0;Erlöse aus Verkäufen;2025-01-31;941,59
8410,0;Erlöse aus Dienstleistungen;2025-01-31;620,64
8400,0;Erlöse aus Verkäufen;2025-01-31;588,95
8410,0;Erlöse aus Dienstleistungen;2025-01-31;426,75
8410,0;Erlöse aus Dienstleistungen;2025-01-31;371,49
8400,0;Erlöse aus Verkäufen;2025-01-31;208,24
8410,0;Erlöse aus Dienstleistungen;2025-01-31;230,54
8400,0;Erlöse aus Verkäufen;2025-01-31;442,96
8410,0;Erlöse aus Dienstleistungen;2025-01-31;565,99
8400,0;Erlöse aus Verkäufen;2025-01-31;170,8
8410,0;Erlöse aus Dienstleistungen;2025-01-31;519,46
8400,0;Erlöse aus Verkäufen;2025-01-31;559,78
8410,0;Erlöse aus Dienstleistungen;2025-01-31;848,99
8400,0;Erlöse aus Verkäufen;2025-01-31;228,57
8400,0;Erlöse aus Verkäufen;2025-01-31;308,18
8400,0;Erlöse aus Verkäufen;2025-01-31;967,36
8410,0;Erlöse aus Dienstleistungen;2025-01-31;774,08
8410,0;Erlöse aus Dienstleistungen;2025-01-31;285,93
8410,0;Erlöse aus Dienstleistungen;2025-01-31;170,11
8410,0;Erlöse aus Dienstleistungen;2025-01-31;238,07
8410,0;Erlöse aus Dienstleistungen;2025-01-31;889,72
8410,0;Erlöse aus Dienstleistungen;2025-01-31;380,41
8400,0;Erlöse aus Verkäufen;2025-01-31;965,55
8400,0;Erlöse aus Verkäufen;2025-01-31;120,82
8410,0;Erlöse aus Dienstleistungen;2025-01-31;175,6
8410,0;Erlöse aus Dienstleistungen;2025-01-31;675,49
8400,0;Erlöse aus Verkäufen;2025-01-31;195,48
8400,0;Erlöse aus Verkäufen;2025-01-31;925,57
8410,0;Erlöse aus Dienstleistungen;2025-01-31;341,15
8400,0;Erlöse aus Verkäufen;2025-01-31;974,4
8400,0;Erlöse aus Verkäufen;2025-01-31;566,46
8410,0;Erlöse aus Dienstleistungen;2025-01-31;825,04
8400,0;Erlöse aus Verkäufen;2025-01-31;600,46
8400,0;Erlöse aus Verkäufen;2025-01-31;492,77
8400,0;Erlöse aus Verkäufen;2025-01-31;244,37
8400,0;Erlöse aus Verkäufen;2025-01-31;941,09
8400,0;Erlöse aus Verkäufen;2025-01-31;216,23
8400,0;Erlöse aus Verkäufen;2025-01-31;807,41
8410,0;Erlöse aus Dienstleistungen;2025-01-31;856,67
8400,0;Erlöse aus Verkäufen;2025-01-31;481,72
8400,0;Erlöse aus Verkäufen;2025-01-31;638,6
8410,0;Erlöse aus Dienstleistungen;2025-01-31;323,55
8400,0;Erlöse aus Verkäufen;2025-01-31;174,25
8410,0;Erlöse aus Dienstleistungen;2025-01-31;597,07
8400,0;Erlöse aus Verkäufen;2025-01-31;667,42
8400,0;Erlöse aus Verkäufen;2025-01-31;233,14
8410,0;Erlöse aus Dienstleistungen;2025-01-31;273,0
8400,0;Erlöse aus Verkäufen;2025-01-31;631,68
8410,0;Erlöse aus Dienstleistungen;2025-01-31;832,79
8400,0;Erlöse aus Verkäufen;2025-01-31;913,74
8410,0;Erlöse aus Dienstleistungen;2025-01-31;946,95
8410,0;Erlöse aus Dienstleistungen;2025-01-31;487,01
8400,0;Erlöse aus Verkäufen;2025-01-31;986,53
8410,0;Erlöse aus Dienstleistungen;2025-01-31;997,29
8410,0;Erlöse aus Dienstleistungen;2025-01-31;819,59
8410,0;Erlöse aus Dienstleistungen;2025-01-31;367,78
8410,0;Erlöse aus Dienstleistungen;2025-01-31;625,33
8410,0;Erlöse aus Dienstleistungen;2025-01-31;441,03
8410,0;Erlöse aus Dienstleistungen;2025-01-31;947,31
8400,0;Erlöse aus Verkäufen;2025-01-31;975,3
8400,0;Erlöse aus Verkäufen;2025-01-31;537,56
8410,0;Erlöse aus Dienstleistungen;2025-01-31;158,67
8400,0;Erlöse aus Verkäufen;2025-01-31;515,37
8410,0;Erlöse aus Dienstleistungen;2025-01-31;253,12
8410,0;Erlöse aus Dienstleistungen;2025-01-31;369,12
8400,0;Erlöse aus Verkäufen;2025-01-31;304,32
8400,0;Erlöse aus Verkäufen;2025-01-31;772,65
8400,0;Erlöse aus Verkäufen;2025-01-31;552,98
8400,0;Erlöse aus Verkäufen;2025-01-31;116,25
8410,0;Erlöse aus Dienstleistungen;2025-01-31;202,19
8400,0;Erlöse aus Verkäufen;2025-01-31;327,95
8410,0;Erlöse aus Dienstleistungen;2025-01-31;469,8
8410,0;Erlöse aus Dienstleistungen;2025-01-31;297,21
8400,0;Erlöse aus Verkäufen;2025-01-31;609,41
8410,0;Erlöse aus Dienstleistungen;2025-01-31;135,22
8400,0;Erlöse aus Verkäufen;2025-01-31;444,5
8400,0;Erlöse aus Verkäufen;2025-01-31;434,65
8400,0;Erlöse aus Verkäufen;2025-01-31;910,61
8400,0;Erlöse aus Verkäufen;2025-01-31;100,45
8410,0;Erlöse aus Dienstleistungen;2025-01-31;399,12
8410,0;Erlöse aus Dienstleistungen;2025-01-31;330,73
8400,0;Erlöse aus Verkäufen;2025-01-31;864,96
8410,0;Erlöse aus Dienstleistungen;2025-01-31;993,32
8410,0;Erlöse aus Dienstleistungen;2025-01-31;115,54
8410,0;Erlöse aus Dienstleistungen;2025-01-31;149,11
8400,0;Erlöse aus Verkäufen;2025-01-31;329,05
8410,0;Erlöse aus Dienstleistungen;2025-01-31;819,9
8400,0;Erlöse aus Verkäufen;2025-01-31;691,67
8410,0;Erlöse aus Dienstleistungen;2025-01-31;638,76
8410,0;Erlöse aus Dienstleistungen;2025-01-31;421,68
8410,0;Erlöse aus Dienstleistungen;2025-01-31;759,63
8400,0;Erlöse aus Verkäufen;2025-01-31;976,64
8410,0;Erlöse aus Dienstleistungen;2025-01-31;581,2
8410,0;Erlöse aus Dienstleistungen;2025-01-31;889,59
8400,0;Erlöse aus Verkäufen;2025-01-31;118,5
8410,0;Erlöse aus Dienstleistungen;2025-01-31;756,84
8400,0;Erlöse aus Verkäufen;2025-01-31;750,03
8410,0;Erlöse aus Dienstleistungen;2025-01-31;456,4
8400,0;Erlöse aus Verkäufen;2025-01-31;855,78
8410,0;Erlöse aus Dienstleistungen;2025-01-31;799,42
8410,0;Erlöse aus Dienstleistungen;2025-01-31;615,78
8400,0;Erlöse aus Verkäufen;2025-01-31;312,09
8400,0;Erlöse aus Verkäufen;2025-01-31;129,95
8400,0;Erlöse aus Verkäufen;2025-01-31;421,34
8400,0;Erlöse aus Verkäufen;2025-01-31;965,97
8410,0;Erlöse aus Dienstleistungen;2025-01-31;994,79
8410,0;Erlöse aus Dienstleistungen;2025-01-31;492,18
8400,0;Erlöse aus Verkäufen;2025-01-31;688,44
8400,0;Erlöse aus Verkäufen;2025-01-31;408,34
8410,0;Erlöse aus Dienstleistungen;2025-01-31;203,29
8410,0;Erlöse aus Dienstleistungen;2025-01-31;161,13
8400,0;Erlöse aus Verkäufen;2025-01-31;373,84
8400,0;Erlöse aus Verkäufen;2025-01-31;654,29
8410,0;Erlöse aus Dienstleistungen;2025-01-31;844,56
8410,0;Erlöse aus Dienstleistungen;2025-01-31;249,37
8400,0;Erlöse aus Verkäufen;2025-01-31;443,22
8400,0;Erlöse aus Verkäufen;2025-01-31;444,65
8410,0;Erlöse aus Dienstleistungen;2025-01-31;812,05
8410,0;Erlöse aus Dienstleistungen;2025-01-31;125,4
8400,0;Erlöse aus Verkäufen;2025-01-31;624,65
8400,0;Erlöse aus Verkäufen;2025-01-31;704,11
8400,0;Erlöse aus Verkäufen;2025-01-31;206,07
8400,0;Erlöse aus Verkäufen;2025-01-31;496,36
8400,0;Erlöse aus Verkäufen;2025-01-31;250,65
8410,0;Erlöse aus Dienstleistungen;2025-01-31;212,37
8410,0;Erlöse aus Dienstleistungen;2025-01-31;966,38
8400,0;Erlöse aus Verkäufen;2025-01-31;614,36
8400,0;Erlöse aus Verkäufen;2025-01-31;235,02
8410,0;Erlöse aus Dienstleistungen;2025-01-31;992,98
8400,0;Erlöse aus Verkäufen;2025-01-31;512,99
8410,0;Erlöse aus Dienstleistungen;2025-01-31;201,08
8400,0;Erlöse aus Verkäufen;2025-01-31;792,92
8410,0;Erlöse aus Dienstleistungen;2025-01-31;310,65
8410,0;Erlöse aus Dienstleistungen;2025-01-31;989,87
8410,0;Erlöse aus Dienstleistungen;2025-01-31;101,97
8410,0;Erlöse aus Dienstleistungen;2025-01-31;152,79
8400,0;Erlöse aus Verkäufen;2025-01-31;267,22
8400,0;Erlöse aus Verkäufen;2025-01-31;346,99
8400,0;Erlöse aus Verkäufen;2025-01-31;882,07
8410,0;Erlöse aus Dienstleistungen;2025-01-31;457,15
8400,0;Erlöse aus Verkäufen;2025-01-31;843,22
8400,0;Erlöse aus Verkäufen;2025-01-31;934,59
8400,0;Erlöse aus Verkäufen;2025-01-31;644,38
8400,0;Erlöse aus Verkäufen;2025-01-31;236,64
8410,0;Erlöse aus Dienstleistungen;2025-01-31;399,57
8400,0;Erlöse aus Verkäufen;2025-01-31;460,76
8400,0;Erlöse aus Verkäufen;2025-01-31;793,54
8400,0;Erlöse aus Verkäufen;2025-01-31;222,33
8410,0;Erlöse aus Dienstleistungen;2025-01-31;967,86
8410,0;Erlöse aus Dienstleistungen;2025-01-31;958,89
8410,0;Erlöse aus Dienstleistungen;2025-01-31;382,57
8400,0;Erlöse aus Verkäufen;2025-01-31;806,38
8400,0;Erlöse aus Verkäufen;2025-01-31;891,43
8410,0;Erlöse aus Dienstleistungen;2025-01-31;514,5
8410,0;Erlöse aus Dienstleistungen;2025-01-31;566,56
8410,0;Erlöse aus Dienstleistungen;2025-01-31;626,0
8400,0;Erlöse aus Verkäufen;2025-01-31;831,88
8410,0;Erlöse aus Dienstleistungen;2025-01-31;778,32
8400,0;Erlöse aus Verkäufen;2025-01-31;747,8
8410,0;Erlöse aus Dienstleistungen;2025-01-31;220,37
8410,0;Erlöse aus Dienstleistungen;2025-01-31;749,62
8410,0;Erlöse aus Dienstleistungen;2025-01-31;372,91
8410,0;Erlöse aus Dienstleistungen;2025-01-31;683,22
8410,0;Erlöse aus Dienstleistungen;2025-01-31;457,31
8400,0;Erlöse aus Verkäufen;2025-01-31;676,22
8400,0;Erlöse aus Verkäufen;2025-01-31;775,73
8410,0;Erlöse aus Dienstleistungen;2025-01-31;133,18
8400,0;Erlöse aus Verkäufen;2025-01-31;767,49
8400,0;Erlöse aus Verkäufen;2025-01-31;989,36
8410,0;Erlöse aus Dienstleistungen;2025-01-31;230,51
8410,0;Erlöse aus Dienstleistungen;2025-01-31;210,5
8400,0;Erlöse aus Verkäufen;2025-01-31;515,61
8410,0;Erlöse aus Dienstleistungen;2025-01-31;924,79
8410,0;Erlöse aus Dienstleistungen;2025-01-31;585,76
8410,0;Erlöse aus Dienstleistungen;2025-01-31;420,68
8410,0;Erlöse aus Dienstleistungen;2025-01-31;238,75
8400,0;Erlöse aus Verkäufen;2025-01-31;804,05
8400,0;Erlöse aus Verkäufen;2025-01-31;291,32
8410,0;Erlöse aus Dienstleistungen;2025-01-31;380,86
8410,0;Erlöse aus Dienstleistungen;2025-01-31;932,22
8410,0;Erlöse aus Dienstleistungen;2025-01-31;189,76
8410,0;Erlöse aus Dienstleistungen;2025-01-31;882,79
8400,0;Erlöse aus Verkäufen;2025-01-31;450,61
3400,0;Wareneingang (Aufwand);2025-01-31;-205,45
3100,0;Fremdleistungen;2025-01-31;-241,05
3400,0;Wareneingang (Aufwand);2025-01-31;-331,19
3100,0;Fremdleistungen;2025-01-31;-214,73
3400,0;Wareneingang (Aufwand);2025-01-31;-138,68
3400,0;Wareneingang (Aufwand);2025-01-31;-314,81
3100,0;Fremdleistungen;2025-01-31;-288,21
3400,0;Wareneingang (Aufwand);2025-01-31;-207,0
3100,0;Fremdleistungen;2025-01-31;-305,7
3400,0;Wareneingang (Aufwand);2025-01-31;-67,3
3400,0;Wareneingang (Aufwand);2025-01-31;-114,62
3100,0;Fremdleistungen;2025-01-31;-355,74
3100,0;Fremdleistungen;2025-01-31;-284,61
3100,0;Fremdleistungen;2025-01-31;-359,0
3100,0;Fremdleistungen;2025-01-31;-103,15
3100,0;Fremdleistungen;2025-01-31;-388,17
3400,0;Wareneingang (Aufwand);2025-01-31;-71,45
3100,0;Fremdleistungen;2025-01-31;-209,28
3100,0;Fremdleistungen;2025-01-31;-362,57
3400,0;Wareneingang (Aufwand);2025-01-31;-126,28
3100,0;Fremdleistungen;2025-01-31;-137,63
3400,0;Wareneingang (Aufwand);2025-01-31;-59,33
3100,0;Fremdleistungen;2025-01-31;-125,42
3100,0;Fremdleistungen;2025-01-31;-157,94
3400,0;Wareneingang (Aufwand);2025-01-31;-343,26
3400,0;Wareneingang (Aufwand);2025-01-31;-237,01
3100,0;Fremdleistungen;2025-01-31;-134,74
3100,0;Fremdleistungen;2025-01-31;-127,31
3100,0;Fremdleistungen;2025-01-31;-52,7
3100,0;Fremdleistungen;2025-01-31;-145,03
3400,0;Wareneingang (Aufwand);2025-01-31;-222,76
3100,0;Fremdleistungen;2025-01-31;-266,68
3100,0;Fremdleistungen;2025-01-31;-232,33
3100,0;Fremdleistungen;2025-01-31;-274,49
3100,0;Fremdleistungen;2025-01-31;-263,31
3100,0;Fremdleistungen;2025-01-31;-297,5
3100,0;Fremdleistungen;2025-01-31;-284,41
3400,0;Wareneingang (Aufwand);2025-01-31;-270,12
3400,0;Wareneingang (Aufwand);2025-01-31;-260,8
3400,0;Wareneingang (Aufwand);2025-01-31;-173,08
3100,0;Fremdleistungen;2025-01-31;-220,01
3400,0;Wareneingang (Aufwand);2025-01-31;-157,81
3400,0;Wareneingang (Aufwand);2025-01-31;-391,69
3400,0;Wareneingang (Aufwand);2025-01-31;-372,49
3100,0;Fremdleistungen;2025-01-31;-91,17
3100,0;Fremdleistungen;2025-01-31;-352,5
3100,0;Fremdleistungen;2025-01-31;-106,65
3100,0;Fremdleistungen;2025-01-31;-280,18
3400,0;Wareneingang (Aufwand);2025-01-31;-134,61
3400,0;Wareneingang (Aufwand);2025-01-31;-323,64
3400,0;Wareneingang (Aufwand);2025-01-31;-395,77
3400,0;Wareneingang (Aufwand);2025-01-31;-175,09
3100,0;Fremdleistungen;2025-01-31;-330,54
3400,0;Wareneingang (Aufwand);2025-01-31;-344,91
3400,0;Wareneingang (Aufwand);2025-01-31;-386,44
3400,0;Wareneingang (Aufwand);2025-01-31;-192,16
3100,0;Fremdleistungen;2025-01-31;-316,54
3400,0;Wareneingang (Aufwand);2025-01-31;-112,43
3400,0;Wareneingang (Aufwand);2025-01-31;-123,69
3100,0;Fremdleistungen;2025-01-31;-197,05
3100,0;Fremdleistungen;2025-01-31;-326,02
3100,0;Fremdleistungen;2025-01-31;-218,33
3400,0;Wareneingang (Aufwand);2025-01-31;-262,25
3400,0;Wareneingang (Aufwand);2025-01-31;-184,56
3100,0;Fremdleistungen;2025-01-31;-244,17
3100,0;Fremdleistungen;2025-01-31;-259,59
3100,0;Fremdleistungen;2025-01-31;-318,81
3400,0;Wareneingang (Aufwand);2025-01-31;-320,89
3400,0;Wareneingang (Aufwand);2025-01-31;-132,64
3400,0;Wareneingang (Aufwand);2025-01-31;-254,04
3100,0;Fremdleistungen;2025-01-31;-395,74
3100,0;Fremdleistungen;2025-01-31;-308,88
3400,0;Wareneingang (Aufwand);2025-01-31;-365,06
3400,0;Wareneingang (Aufwand);2025-01-31;-133,02
3400,0;Wareneingang (Aufwand);2025-01-31;-294,21
3400,0;Wareneingang (Aufwand);2025-01-31;-194,8
3100,0;Fremdleistungen;2025-01-31;-160,14
3100,0;Fremdleistungen;2025-01-31;-250,45
3100,0;Fremdleistungen;2025-01-31;-98,43
3400,0;Wareneingang (Aufwand);2025-01-31;-373,87
3400,0;Wareneingang (Aufwand);2025-01-31;-394,04
3100,0;Fremdleistungen;2025-01-31;-333,05
3100,0;Fremdleistungen;2025-01-31;-67,82
3400,0;Wareneingang (Aufwand);2025-01-31;-373,85
3400,0;Wareneingang (Aufwand);2025-01-31;-124,09
3400,0;Wareneingang (Aufwand);2025-01-31;-59,01
3100,0;Fremdleistungen;2025-01-31;-360,13
3400,0;Wareneingang (Aufwand);2025-01-31;-70,11
3100,0;Fremdleistungen;2025-01-31;-255,81
3400,0;Wareneingang (Aufwand);2025-01-31;-130,91
3400,0;Wareneingang (Aufwand);2025-01-31;-82,17
3100,0;Fremdleistungen;2025-01-31;-362,87
3400,0;Wareneingang (Aufwand);2025-01-31;-367,08
3400,0;Wareneingang (Aufwand);2025-01-31;-228,81
3100,0;Fremdleistungen;2025-01-31;-244,93
3400,0;Wareneingang (Aufwand);2025-01-31;-297,1
3400,0;Wareneingang (Aufwand);2025-01-31;-223,26
3400,0;Wareneingang (Aufwand);2025-01-31;-271,53
3100,0;Fremdleistungen;2025-01-31;-130,78
3400,0;Wareneingang (Aufwand);2025-01-31;-376,39
;--- ZWISCHENSUMME: Rohertrag 1/2025 ---;2025-01-31;83994,46
4190,0;Aushilfslöhne;2025-01-31;-151,46
4120,0;Gehälter;2025-01-31;-685,16
4130,0;Gesetzliche soziale Aufwendungen;2025-01-31;-185,93
4190,0;Aushilfslöhne;2025-01-31;-158,24
4130,0;Gesetzliche soziale Aufwendungen;2025-01-31;-314,18
4130,0;Gesetzliche soziale Aufwendungen;2025-01-31;-358,7
4190,0;Aushilfslöhne;2025-01-31;-258,76
4120,0;Gehälter;2025-01-31;-1717,86
4130,0;Gesetzliche soziale Aufwendungen;2025-01-31;-277,93
4190,0;Aushilfslöhne;2025-01-31;-370,04
4120,0;Gehälter;2025-01-31;-1215,09
4130,0;Gesetzliche soziale Aufwendungen;2025-01-31;-250,67
4130,0;Gesetzliche soziale Aufwendungen;2025-01-31;-190,77
4130,0;Gesetzliche soziale Aufwendungen;2025-01-31;-285,96
4190,0;Aushilfslöhne;2025-01-31;-291,46
4130,0;Gesetzliche soziale Aufwendungen;2025-01-31;-168,97
4120,0;Gehälter;2025-01-31;-1232,27
4190,0;Aushilfslöhne;2025-01-31;-138,53
4120,0;Gehälter;2025-01-31;-1606,91
4120,0;Gehälter;2025-01-31;-1735,04
4130,0;Gesetzliche soziale Aufwendungen;2025-01-31;-385,87
4190,0;Aushilfslöhne;2025-01-31;-145,27
4190,0;Aushilfslöhne;2025-01-31;-275,6
4130,0;Gesetzliche soziale Aufwendungen;2025-01-31;-120,6
4120,0;Gehälter;2025-01-31;-1112,99
4120,0;Gehälter;2025-01-31;-906,5
4190,0;Aushilfslöhne;2025-01-31;-337,47
4120,0;Gehälter;2025-01-31;-1361,1
4190,0;Aushilfslöhne;2025-01-31;-255,99
4130,0;Gesetzliche soziale Aufwendungen;2025-01-31;-263,06
4130,0;Gesetzliche soziale Aufwendungen;2025-01-31;-180,69
4190,0;Aushilfslöhne;2025-01-31;-126,73
4120,0;Gehälter;2025-01-31;-743,55
4130,0;Gesetzliche soziale Aufwendungen;2025-01-31;-267,14
4130,0;Gesetzliche soziale Aufwendungen;2025-01-31;-107,35
4130,0;Gesetzliche soziale Aufwendungen;2025-01-31;-230,63
4190,0;Aushilfslöhne;2025-01-31;-119,57
4120,0;Gehälter;2025-01-31;-1502,86
4120,0;Gehälter;2025-01-31;-1843,86
4120,0;Gehälter;2025-01-31;-1955,62
4190,0;Aushilfslöhne;2025-01-31;-256,41
4120,0;Gehälter;2025-01-31;-1278,59
4190,0;Aushilfslöhne;2025-01-31;-174,35
4120,0;Gehälter;2025-01-31;-927,33
4190,0;Aushilfslöhne;2025-01-31;-185,8
4130,0;Gesetzliche soziale Aufwendungen;2025-01-31;-263,07
4130,0;Gesetzliche soziale Aufwendungen;2025-01-31;-369,53
4130,0;Gesetzliche soziale Aufwendungen;2025-01-31;-107,8
4130,0;Gesetzliche soziale Aufwendungen;2025-01-31;-201,7
4190,0;Aushilfslöhne;2025-01-31;-192,41
4600,0;Werbekosten;2025-01-31;-158,34
4360,0;Versicherungen;2025-01-31;-402,71
4260,0;Instandhaltung;2025-01-31;-389,48
4600,0;Werbekosten;2025-01-31;-139,05
4260,0;Instandhaltung;2025-01-31;-412,33
4930,0;Büromaterial;2025-01-31;-308,54
4920,0;Telefon und Internet;2025-01-31;-480,0
4210,0;Miete;2025-01-31;-257,42
4920,0;Telefon und Internet;2025-01-31;-52,86
4930,0;Büromaterial;2025-01-31;-230,94
4600,0;Werbekosten;2025-01-31;-406,11
