Transaktions-ID,Datum,Kunden-ID,Kundenstandort,Produkt-ID,Produktname,Produktkategorie,Menge,Preis pro Einheit,Gesamtbetrag
T000001,2023-01-14,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,9,380000,3420000
T000002,2023-01-14,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,6,25500,153000
T000003,2023-01-14,Customer-020,Frankfurt,PROD-009,Noise-Cancelling Kopfhörer,Elektronik,7,250000,1750000
T000004,2023-01-14,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,8,70000,560000
T000005,2023-01-14,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,7,25500,178500
T000006,2023-01-14,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,6,1200000,7200000
T000007,2023-01-14,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,6,70000,420000
T000008,2023-01-14,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,4,380000,1520000
T000009,2023-01-14,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,9,25500,229500
T000010,2023-01-14,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,7,1200000,8400000
T000011,2023-01-14,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,6,70000,420000
T000012,2023-01-14,Customer-020,Frankfurt,PROD-010,Webcam 1080p HD,Elektronik,7,85000,595000
T000013,2023-01-14,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,8,70000,560000
T000014,2023-01-14,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,7,25500,178500
T000015,2023-01-14,Customer-020,Frankfurt,PROD-009,Noise-Cancelling Kopfhörer,Elektronik,5,250000,1250000
T000016,2023-01-14,Customer-020,Frankfurt,PROD-008,Exklusive Kugelschreiber-Box,Bürobedarf,7,70000,490000
T000017,2023-01-14,Customer-020,Frankfurt,PROD-010,Webcam 1080p HD,Elektronik,6,85000,510000
T000018,2023-01-14,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,7,220000,1540000
T000019,2023-01-14,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,10,380000,3800000
T000020,2023-01-14,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,6,380000,2280000
T000021,2023-01-14,Customer-020,Frankfurt,PROD-009,Noise-Cancelling Kopfhörer,Elektronik,9,250000,2250000
T000022,2023-01-14,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,6,1200000,7200000
T000023,2023-01-14,Customer-020,Frankfurt,PROD-009,Noise-Cancelling Kopfhörer,Elektronik,9,250000,2250000
T000024,2023-01-14,Customer-020,Frankfurt,PROD-002,Kabellose mechanische Tastatur,Elektronik,2,380000,760000
T000025,2023-01-14,Customer-020,Frankfurt,PROD-007,USB-C Dockingstation,Elektronik,6,220000,1320000
T000026,2023-01-14,Customer-020,Frankfurt,PROD-003,27-Zoll 4K Monitor,Elektronik,8,1200000,9600000
T000027,2023-01-14,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,4,25500,102000
T000028,2023-01-14,Customer-020,Frankfurt,PROD-001,Ergonomischer Netz-Bürostuhl,Möbel,3,750000,2250000
T000029,2023-01-14,Customer-020,Frankfurt,PROD-006,A4 Druckerpapier (500 Blatt),Bürobedarf,3,25500,76500
